,Comments,Label
41,"আমি যখন দিকনির্দেশের জন্য জিজ্ঞাসা করি, দয়া করে ‘পূর্ব‘ পূর্বের মতো শব্দ ব্যবহার করবেন না।",1.0
42,"কখনও কখনও আমার মনে যা আছে তা না বলার জন্য যে পরিমাণ আত্ম-নিয়ন্ত্রণের পরিমাণ লাগে তা এতটা অপরিসীম হয়, আমার পরে একটি ঝাঁকুনি দরকার।",1.0
43,আপনি আমার সম্পর্কে যে জিনিসগুলি শুনেছেন তা মিথ্যা।আমি আরও খারাপ।,1.0
44,আমি শোনার ভান করা আপনার পক্ষে যথেষ্ট হওয়া উচিত।,1.0
45,"কখনও কখনও আমি ইচ্ছা করি আমি একজন সুন্দর ব্যক্তি, তবে তারপরে আমি হাসি এবং আমার দিনটি চালিয়ে যাই।",1.0
46,আমি আমার স্বামীকে পোপ করার চেয়ে কম সময়ে একটি পুরো শিশুকে জন্ম দিয়েছি।,1.0
47,আমি মারা যাওয়ার ঠিক আগে আমি শ্মশানটিকে আরও আকর্ষণীয় করে তুলতে পপকর্ন কার্নেলগুলির একটি ব্যাগ গিলে ফেলব।,1.0
48,আপনি যদি আমার জন্য একটি বাজে কথা দেওয়ার অপেক্ষায় থাকেন তবে আপনি আরও ভাল লাঞ্চ প্যাক করুন।এটা সময় হতে চলেছে।,1.0
49,বিবাহ।কারণ আপনার কৃপণ দিনটি কাজ শেষ করতে হবে না।,1.0
50,কখনও কখনও আমি আশা করি আমি একটি অক্টোপাস ছিলাম যাতে আমি একবারে আট জনকে চড় মারতে পারি।,1.0
51,কোনও মিথ্যাবাদীর প্যান্টগুলি যদি সত্যিই আগুন ধরিয়ে দেয় তবে এটি আরও কত ভাল হবে?,1.0
52,যা আপনাকে হত্যা করে না তা আপনাকে অস্বাস্থ্যকর মোকাবেলা করার ব্যবস্থা এবং হাস্যরসের একটি অন্ধকার বোধ দেয়।,1.0
53,আপনি ভাল আকারে থাকবেন ... যদি আপনি আপনার মুখের মতো দৌড়ে যান।,1.0
54,মজাদার ঘটনা: অ্যালকোহল 89%দ্বারা ‘প্রেরণ’ বোতামের আকার বাড়িয়ে তোলে।,1.0
55,আমি পাগল হই না।আমি উন্মাদ.আমি সময়ে সময়ে স্বাভাবিক যাই।,1.0
56,"আমি গোপনীয়তা রাখি না, আমি কেবল মানুষকে আমার ব্যবসা থেকে দূরে রাখি।",1.0
57,আজ কেউ হাসছে এমন কারণ হোন ... বা কেউ পান করার কারণ।যাই হোক না কেন কাজ করে.,1.0
58,"""আমার দরজায় আমার কাছে স্বাগত মাদুর নেই কারণ আমি মিথ্যাবাদী নই।""",1.0
59,"""কদর্যতা স্থির করা যেতে পারে, বোকামি চিরকাল।""",1.0
60,"""আমি এটি শেষ করব।আমার প্রথমে নাটকীয় হওয়া দরকার। """,1.0
61,"“আমাকে প্রলোভনে না নিয়ে যান।আমি উপায় জানি। """,1.0
62,"“জাহান্নামে আপনার বাচ্চা যেমন আপনাকে কখনও কিছু ছুঁড়ে ফেলছে তেমন ক্রোধ নেই।আমি মেক্সিকান ড্রাগলর্ডের মতো ভাঙা ক্রাইওনগুলি ছিনিয়ে নিয়েছি। """,1.0
63,"""দেরি করার জন্য দুঃখিত.আমি এখানে না থাকার শেষ কয়েক মিনিট উপভোগ করে ধরা পড়েছি। """,1.0
64,"“জম্বিগুলি মস্তিষ্ক খায়।আপনি নিরাপদ.""",1.0
65,"“আমার নীরবতার অর্থ এই নয় যে আমি আপনার সাথে একমত।এটা ঠিক যে আপনার অজ্ঞতার স্তরটি আমাকে নির্বাক করে দিয়েছে ”""",1.0
66,"""আমি আর চাই না এমন কাউকে আমি চাই।""",1.0
67,"""যদি তারা আপনাকে ছাড়া বাঁচতে পারে এমন আচরণ করে ... তাদের এটি করতে সহায়তা করুন” """,1.0
68,"""আপনি যখন আমার সাথে কথা বলছেন তখন আপনার মুখটি বন্ধ করুন।""",1.0
69,"""কখনও কখনও আমি মানুষের সাথে দেখা করি এবং তাদের কুকুরের জন্য খারাপ লাগে।""",1.0
70,"""অবশ্যই আমি আপনাকে সাহায্য করব ... আপনি যেভাবে এসেছিলেন ঠিক তেমনই।""",1.0
71,"“আপনি শিকার খেলেন।আমি হতাশাগ্রস্থ বাইস্ট্যান্ডার খেলব। """,1.0
72,“দুর্বলতার জন্য আমার নীরবতা কখনই ভুল করবেন না।কেউ উচ্চস্বরে হত্যার পরিকল্পনা করে না। ”,1.0
73,"""আমার প্রতিবেশীরা ভাল সংগীত শুনেন যে তারা এটি পছন্দ করুক বা না করুক।""",1.0
74,কখনও কখনও আমি সময়মতো ফিরে যেতে এবং নিজেকে মুখে ঘুষি মারতে চাই।,1.0
75,"""আমি পাগল নই!কণ্ঠস্বর আমাকে বলে আমি পুরোপুরি বুদ্ধিমান ”",1.0
76,"""আপনি যদি আরও স্মার্ট হওয়ার চেষ্টা করেন তবে আমি সুন্দর হওয়ার চেষ্টা করব” """,1.0
77,"“আমাকে জিজ্ঞাসা করা হয়েছিল যে আমি একটি সম্পর্কের মধ্যে কী খুঁজছি।স্পষ্টতই ‘একটি উপায়’ সঠিক উত্তর ছিল না। """,1.0
78,"""বন্ধুত্বগুলি অবশ্যই অ্যালকোহল, কটাক্ষ, অনুপযুক্ততা এবং শেননিগানগুলির একটি দৃ foundation ় ভিত্তিতে তৈরি করা উচিত।""",1.0
79,"""কৌশল হ'ল এমন লোকদের জন্য যারা কটূক্তি ব্যবহার করার মতো যথেষ্ট মজাদার নয়।""",1.0
80,“আমার বস বলেছিলেন আমি আমার সহকর্মীদের ভয় দেখিয়েছি।তিনি ক্ষমা না পারা পর্যন্ত আমি তার দিকে তাকাচ্ছিলাম। ”,1.0
81,"“সবেমাত্র ২ হাজার ক্যালোরি পোড়া হয়েছে।আমি যখন ঝাপটায় তখন ওভেনে ব্রাউনিজ ছেড়ে শেষবারের মতো। """,1.0
82,"""আমি যখন হতাশ হয়ে পড়েছি তখন আমার বাড়িটি কীভাবে পরিষ্কার হতে পারে তা আশ্চর্যজনক” """,1.0
83,"""বৈবাহিক অবস্থা হিসাবে 'একক' এর পরিবর্তে তাদের উচিত ছিল 'স্বাধীনভাবে মালিকানাধীন এবং পরিচালিত।'",1.0
84,"“আমি ঘুমিয়ে পড়ি না।আমি নিজেকে একটি কোমায় ওভাররিং করি। """,1.0
85,"""কর্ম যদি আপনাকে আঘাত না করে তবে আমি আনন্দের সাথে করব” """,1.0
86,"""পরিবর্তে‘ সুন্দর দিন কাটানোর পরিবর্তে ’আমি মনে করি আমি বলতে শুরু করব,‘ আপনার প্রাপ্য দিনটি কাটাতে হবে ’’ আপনি জানেন, কর্মফলকে জিনিসগুলি সাজান। """,1.0
87,"""আমার প্রিয় পার্টির কৌশলটি চলছে না।""",1.0
88,"""আমি যত বেশি কম অবাক হয়ে যাই আমার মনে হয় আমি যদি এলোমেলো শরীরের অংশটি কেবল একদিন পড়ে যায় তবে আমি থাকব।""",1.0
89,"""আমি আপনার সাথে একমত হব কিন্তু তারপরে আমরা দুজনেই ভুল হব” """,1.0
90,"""আমাকে বিয়ে করুন এবং আমি আর কোনও ঘোড়ার দিকে তাকাব না!""গ্রুচো মার্কস",1.0
91,"“কেন আমরা অন্যান্য গ্রহে বুদ্ধিমান জীবন খুঁজতে এত সময় ব্যয় করি?আমি প্রথমে পৃথিবীতে বুদ্ধিমান জীবন খুঁজে পেয়ে খুশি হব ”""",1.0
92,"“তোমার চোখ ঘুরতে থাকুন।আপনি সেখানে ফিরে একটি মস্তিষ্ক খুঁজে পাবেন। """,1.0
93,"“লোকেরা মনে করে আমি তাদের প্রস্রাব করার জন্য আমার পথ থেকে বেরিয়ে যাই।আমাকে বিশ্বাস করুন, এটি আমার পথ থেকে একেবারেই বাইরে নয়। """,1.0
94,"""এত লোক তাদের শারীরিক উপস্থিতি এবং বস্তুগত সম্পদ সম্পর্কে উদ্বিগ্ন, যে তারা তাদের কৃপণ ব্যক্তিত্বকে পুরোপুরি উপেক্ষা করে।""",1.0
95,"“ভাবি আমি ব্যঙ্গাত্মক?আমাকে যত্ন নেওয়ার ভান দেখুন! """,1.0
96,"“কিছু লোক সত্যিই স্তন্যপান।তাদের এড়িয়ে চলুন। """,1.0
97,"""দুঃখিত ... তোমার সাথে দেখা হয়েছে।""",1.0
98,"""যদি অজ্ঞতা আনন্দ হয় তবে আপনাকে অবশ্যই এই গ্রহের সবচেয়ে সুখী ব্যক্তি হতে হবে।""",1.0
99,"“আমার বন্ধুরা আপনার চেয়ে অনেক শীতল।তারা অদৃশ্য। """,1.0
100,"""আমার বৃত্তটি এত ছোট, আমি প্রায় নিজেকে কেটে ফেলেছি।""",1.0
101,"""আমি যখন 35 তে 50 টি করে থাকি তখন আমাকে টেলগেট করার কোনও কারণ নেই your এবং আপনার গাড়ির উপরে থাকা সেই ফ্ল্যাশিং লাইটগুলি হাস্যকর দেখায়।""",1.0
102,"""শ্রমের সময়, ব্যথা এতটাই দুর্দান্ত যে কোনও মহিলা যখন জ্বর হয় তখন একজন পুরুষের কেমন লাগে তা প্রায় কল্পনা করতে পারে।""",1.0
103,আপনি আমাকে নীরব চিকিত্সা দিচ্ছেন?অবশেষে।,1.0
104,বিবাহ এমন একটি রোম্যান্স যেখানে প্রথম অধ্যায়ে নায়িকা মারা যায়।,1.0
105,"আমি আশা করি আমি আমার কী, কলম, সেল ফোন, মেজাজ এবং এমনকি আমার মনকে হারাতে পারার সাথে সাথে সহজেই ওজন হ্রাস করতে পারি।",1.0
106,"হ্যাঁ, আমি একজন প্রশান্তবাদী।আমি আপনার মুখ জুড়ে একটি মুষ্টি পাস করতে চলেছি।",1.0
107,যদি মনে হচ্ছে আমি কোনও অভিশাপ দিচ্ছি তবে দয়া করে আমাকে বলুন।আমি ভুল ছাপ ছেড়ে দিতে চাই না।,1.0
108,অটোকারেক্ট এখনও মনে করে আমি দিনে 12 বার ‘হাঁস’ বলতে চাই,1.0
109,আপনি যদি প্রতিটি একক চিন্তাভাবনা লিখে রাখেন তবে আপনি কখনও কখনও সংক্ষিপ্ত গল্পের জন্য একটি পুরষ্কার পাবেন।,1.0
110,"প্রেম একটি আগুন।তবে এটি আপনার চতুর্দিকে গরম করবে বা আপনার বাড়িটি পুড়িয়ে ফেলছে, আপনি কখনই বলতে পারবেন না।",1.0
111,"ভাল ওয়াইনের মতো, বয়সের সাথে বিবাহ আরও ভাল হয় - একবার আপনি এতে কোনও কর্ক রাখতে শিখলে।",1.0
112,আমি একজন বিচারক দ্বারা বিবাহিত ছিল।আমি একটি জুরি জন্য জিজ্ঞাসা করা উচিত।,1.0
113,আমি মাঝে মাঝে মনে করি যে God শ্বর মানুষকে কিছুটা বাড়িয়ে তোলেন তার ক্ষমতাকে কিছুটা বেশি বিবেচনা করেছেন।,1.0
114,যখন কোনও ব্যক্তি আপনার স্ত্রীকে চুরি করে তখন তাকে রাখার চেয়ে ভাল প্রতিশোধ নেওয়া যায় না।,1.0
115,সুন্দর সুগন্ধি।আপনি কি এতে মেরিনেট করতে হবে?,1.0
116,নারী সঙ্গে আলোচনা করতে দুই তত্ত্ব আছে।কেউ কাজ করে না।,1.0
117,বিয়ের কোনও গ্যারান্টি নেই।আপনি যা খুঁজছেন তা যদি হয় তবে গাড়ির ব্যাটারি নিয়ে সরাসরি যান।,1.0
118,প্রেমে এটাই ঘটেছিল।আপনারা একজন অনেক কেঁদেছিলেন এবং তারপরে আপনারা দুজনেই ব্যঙ্গাত্মক হয়ে উঠলেন।,1.0
119,উনানব্বই শতাংশ আইনজীবী বাকিদের একটি খারাপ নাম দেয়।,1.0
120,আমি ব্যঙ্গাত্মক হওয়ার আশ্চর্যজনক শক্তির পুরো দখলে আছি।,1.0
121,তাদের কাছে থাকা লোকদের বাদে প্রত্যেকে কীভাবে সন্তানকে বড় করতে জানে।,1.0
122,"“যদি জীবন আপনাকে লেবু দেয় তবে এর জন্য কৃতজ্ঞ হোন।আমি যতক্ষণ মনে করতে পারি কেবল খোসা ছাড়ছি! """,1.0
123,"“আমি জানি না কীভাবে লোকেরা পুরো সম্পর্ককে জাল করতে পারে।আমি পছন্দ করি না এমন কাউকে আমিও হ্যালো নকল করতে পারি না ”""",1.0
124,"""বিবাহ বিবাহ বিচ্ছেদের প্রধান কারণ।""",1.0
125,"""হুইস্কির স্বাদ যেমন আমি আপনাকে বলতে চাই যে আমি আসলে কেমন অনুভব করি।""",1.0
126,"""আমি ভয়াবহ বিচক্ষণতার দীর্ঘ সময়ের ব্যবধানে উন্মাদ হয়ে উঠি।""",1.0
127,"“আমি হয় আমার চুল এবং মেকআপ করেছি বা গৃহহীন দেখছি।কোন মধ্যে নেই.""",1.0
128,"""খুব বেশি ঘুম হয়নি তবে আমি কয়েক ঘন্টা উদ্বেগজনক হয়ে উঠলাম।""",1.0
129,“আমরা সবসময় হাত ধরে।আমি যদি যেতে দিই তবে সে দোকান করে। ”,1.0
130,"“আমি কখনই জানতাম না যে আমার বিয়ে না হওয়া পর্যন্ত আসল সুখ কী ছিল।এবং ততক্ষণে অনেক দেরি হয়ে গেছে। """,1.0
131,"""না না না.আমি তোমাকে অপমান করছি নাআমি শুধু আপনাকে বর্ণনা করছি। """,1.0
132,"""আপনার উচ্ছ্বাস, বিপথগামী অধিকারের অনুভূতি অত্যাশ্চর্য” """,1.0
133,"""আমার কাছে এটি ব্যাখ্যা করার মতো সময় বা ক্রাইওন নেই।""",1.0
134,"""আপনি এত ভাগ্যবান নন এবং আমি মরিয়া নই!""বেনামে",1.0
135,"“তুমি চুষে দাও।আপনার এটি ঠিক করা উচিত। """,1.0
136,"""একজন মহিলা যখন একজন পুরুষকে পরিবর্তিত করতে সত্যই সফল হন তখনই তিনি যখন শিশু হন।""",1.0
137,"""আপনি কেনাকাটা করার সময় ঘামছেন যখন আপনি অনুশীলন হিসাবে গণনা করেন।""",1.0
138,"""বিবাহ একটি দুর্দান্ত প্রতিষ্ঠান, তবে কে একটি প্রতিষ্ঠানে থাকতে চায়?""",1.0
139,"“বোকা প্রতি আমার সহনশীলতা আজ অত্যন্ত কম।আমি কিছু অনাক্রম্যতা তৈরি করতাম, তবে স্পষ্টতই সেখানে একটি নতুন স্ট্রেন রয়েছে। """,1.0
140,"""আমাকে অবমূল্যায়ন করা.এটা মজা হবে। """,1.0
141,"""আপনি যদি ব্যঙ্গাত্মক উত্তর না চান তবে বোকা প্রশ্ন জিজ্ঞাসা করবেন না।""",1.0
142,"""আমি আমার মতোই ভাল আছি.এটি সমস্ত সঠিক লোককে দূরে সরিয়ে দেয় ”",1.0
143,"""যখন জীবন আপনাকে লেবু দেয়, তখন তাদের মানুষের চোখে চেপে ধরুন।""",1.0
144,"""আপনি যদি খুব মুক্ত মনোভাব রাখেন তবে আপনার মস্তিষ্কগুলি পড়ে যাবে” """,1.0
145,"""স্পষ্টতই রক নীচে একটি বেসমেন্ট রয়েছে।""",1.0
146,"""কোনও দিন, আপনি অনেক দূরে যাবেন।আমি আশা করি আপনি সেখানে থাকবেন। """,1.0
147,"""বিবাহ এমন লোকদের জন্য একটি আনন্দ।""",1.0
148,"“আমি সবসময় আমার পার্সে একটি ছুরি বহন করি।আপনি জানেন, চিজেকেক বা অন্য কিছুর ক্ষেত্রে। """,1.0
149,"""আমি নির্দেশাবলী নিয়ে এসে গেলেও আপনি আমাকে পরিচালনা করতে পারবেন না।""",1.0
150,"“আমি সবসময় অভদ্র এবং ব্যঙ্গাত্মক নই।কখনও কখনও আমি ঘুমিয়ে আছি। """,1.0
151,"""আমার একা সময় কখনও কখনও আপনার সুরক্ষার জন্য হয়।""",1.0
152,"লোকেরা যখন আমাকে বোকা প্রশ্ন জিজ্ঞাসা করে, তখন একটি ব্যঙ্গাত্মক মন্তব্য দেওয়া আমার আইনী বাধ্যবাধকতা।",1.0
153,"“আপনি যদি আমার সাথে একমত না হন তবে ঠিক আছে।আমি আপনাকে সঠিক হতে বাধ্য করতে পারি না। """,1.0
154,"""সিরিয়াল কিলার না হওয়ার জন্য আমি যে প্রচেষ্টা চালিয়েছি তার প্রশংসা করা শুরু করা উচিত।""",1.0
155,"""আপনি আমার চায়ের কাপ ছিলেন, তবে আমি এখন শ্যাম্পেন পান করি।""",1.0
156,"""জীবন সংক্ষিপ্ত. যতদিন দাঁত আছে ততদিন হেসে নাও.""",1.0
157,"“উফ!আমি কি কেবল জোরে জোরে আমার চোখ রোল করেছি? """,1.0
158,"""আমার মুখের ভাবগুলি কীভাবে তাদের কণ্ঠের ভিতরে ব্যবহার করতে হবে তা শিখিয়ে দেওয়া দরকার” """,1.0
159,"“আপনার জীবন নিয়ে কিছু মজা করুন।আপনি যে জায়গাগুলিতে কাজ করেন না সেখানে অসুস্থ অবস্থায় কল করুন ”""",1.0
160,"""আমি মাতাল হতে পারি, মিস হতে পারি, তবে সকালে আমি শান্ত থাকব এবং আপনি এখনও কুৎসিত থাকবেন।""",1.0
161,"""মঙ্গলবার সোমবারের কুৎসিত বোন।""",1.0
162,"""যদি আপনি জীবনের রাস্তায় শয়তানের সাথে কখনও সাক্ষাত না করেন তবে এটি কারণ আপনি দুজনেই একই দিকে যাচ্ছেন।""",1.0
163,"""আমার জীবন স্ন্যাকস দ্বারা পৃথক করা বিশ্রী এবং অপমানজনক মুহুর্তগুলির একটি সিরিজ।""",1.0
164,"“তহবিল স্থানান্তর করার একটি উপায় রয়েছে যা বৈদ্যুতিন ব্যাংকিংয়ের চেয়ে আরও দ্রুত।একে বিবাহ বলা হয়। """,1.0
165,"""আমার বস আমাকে একটি ভাল দিন কাটাতে বলেছিলেন তাই আমি বাড়িতে গেলাম।""",1.0
166,"""সোমবার এবং মঙ্গলবার পরেও ক্যালেন্ডারটি ডাব্লুটিএফ বলে।""",1.0
167,"“সাধারণ জ্ঞান ডিওডোরেন্টের মতো।যে লোকেরা এটির সবচেয়ে বেশি প্রয়োজন তারা কখনই এটি ব্যবহার করেন না। """,1.0
168,"“আমার উভয় স্ত্রীর সাথে আমার ভাগ্য খারাপ হয়েছে।প্রথমটি আমাকে ছেড়ে চলে গেল এবং দ্বিতীয়টি তা করেনি। """,1.0
169,"""আমি ভাবতে শুরু করছি যে জীবনের আমার উদ্দেশ্য অন্যদের কাছে সতর্কতা কাহিনী হিসাবে কাজ করা” """,1.0
170,"""এই জায়গাটি এতটাই অদ্ভুত যে তেলাপোকা পাশের দরজায় চলে গেছে।""",1.0
171,"""আমি আসলে মজার নই, আমি কেবল বোঝাই এবং লোকেরা মনে করে আমি রসিকতা করছি।""",1.0
172,"“তার রাজা ছাড়া রানী কী?ভাল, histor তিহাসিকভাবে বলতে গেলে, আরও শক্তিশালী। """,1.0
173,"“বিবাহ দেওয়া হয় এবং নেওয়া হয়।আপনি এটি তাকে আরও ভাল করে দেবেন বা সে যাইহোক এটি গ্রহণ করবে ”""",1.0
174,"""প্রত্যেকের জন্য কেউ আছেন এবং আপনার জন্য সেই ব্যক্তি একজন মনোরোগ বিশেষজ্ঞ।""",1.0
175,"""আমি ঘুমাতে পছন্দ করি কারণ এটি প্রতিশ্রুতি ছাড়াই মারা যাওয়ার মতো” """,1.0
176,আপনার মতো আমার একাধিক ব্যক্তিত্বের মধ্যে একটিও নয়।,1.0
177,আমি সবসময় আপনার কাছে থাকা আসল ভুল ধারণাটি লালন করব।,1.0
178,"যদি কেউ জিজ্ঞাসা করে, ‘তুমি কি পাগল?’ কেবল উত্তর দিন, ‘হ্যাঁ।’ বুম।আলোচনার সমাপ্তি.",1.0
179,ধৈর্য: যখন অনেক সাক্ষী থাকে তখন আপনার যা আছে।,1.0
180,"""আমি দুঃখিত, আমি আদেশ নিই না।আমি সবেমাত্র পরামর্শ নিই। """,1.0
181,"""কারও দাঁত বেঁধে একটি হাসি বিভ্রান্ত করবেন না।""",1.0
182,"""আমি সময়সীমা পছন্দ করি, তারা উড়ে যাওয়ার সাথে সাথে তারা যে হিংস্র শব্দটি তৈরি করে তা আমি পছন্দ করি” """,1.0
183,"""আমরা সকলেই এমন কাউকে চিনি যে সাবলীল বাজে কথা বলে।""",1.0
184,"""খুশী থেকো.এটি মানুষকে পাগল করে তোলে। """,1.0
185,"""তারা বলে যে অজ্ঞতা সুখী তবে আমি আপনাকে বরং বিরক্তিকর মনে করি।""",1.0
186,"""কখনও কখনও ক্ষমার দিকে প্রথম পদক্ষেপটি উপলব্ধি করা হয় যে অন্য ব্যক্তি একজন বোকা জন্মগ্রহণ করেছিলেন।""",1.0
187,"""একজন প্রাপ্তবয়স্ক হওয়া রাস্তাটি অতিক্রম করার আগে এবং বিমানের ধাক্কায় যাওয়ার আগে উভয় দিকই সন্ধান করছে” """,1.0
188,"“আপনি যা চান তা হতে পারেন;তবে, আপনার ক্ষেত্রে আপনার সম্ভবত কম লক্ষ্য করা উচিত। """,1.0
189,"""আমি অলস নই.আমি শক্তি সঞ্চয় মোডে আছি। """,1.0
190,"""দেখে মনে হচ্ছে আমি কিছুই করছি না, তবে সেলুলার স্তরে আমি সত্যিই বেশ ব্যস্ত” """,1.0
191,"“আমি বর্তমানে নির্মাণাধীন।আপনার ধৈর্যের জন্য আপনাকে ধন্যবাদ.""",1.0
192,"""আমি যখনই দৌড়াতে যাই, আমি নতুন লোকের সাথে দেখা করি ... প্যারামেডিকসের মতো” """,1.0
193,“আমি তোমার নম্বর হারিয়েছি।আমি 'মুছুন' আঘাত করলে আমি এটি হারিয়েছি।,1.0
194,"""হ্যালোইনের জন্য, আমি আবেগগতভাবে স্থিতিশীল হতে চলেছি।কেউ জানতে পারে না যে এটি আমি। """,1.0
195,"“সময় সেরা শিক্ষক;দুর্ভাগ্যক্রমে এটি তার সমস্ত ছাত্রকে হত্যা করে! """,1.0
196,"""আমি আশা করি আরও বেশি লোক নীরবতায় সাবলীল ছিল।""",1.0
197,"“আমি তোমার নাক পেয়েছি।এটা আমার ব্যবসায় ছিল। """,1.0
198,"""জীবন রোলার কোস্টারের মতো, এবং আমি ছুঁড়ে ফেলতে চলেছি।""",1.0
